Name,Price (NPR),Product URL
"Asus VivoBook 14 X1404V (Intel Core i5 13th Gen 1334U Processor | 8GB RAM | 512GB SSD | Magic Numpad | Intel UHD Graphics | 14"" FHD Display)",71999,https://infotechsnepal.com.np/product/asus-vivobook-14-x1404v-i5-1334u-8gb-ram-512gb-ssd-magic-numpad-uhd-graphics-14-fhd/
Asus VivoBook 15 X1504V (Intel Core i5 13th Gen 1334U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6″Inch FHD IPS  Display),71999,https://infotechsnepal.com.np/product/asus-vivobook-15-x1504v-i5-13th-gen-1334u-8gb-ram-512gb-ssd-uhd-graphics-15-6-inch/
"Lenovo LOQ 15 (Intel Core i7 13th Gen 13650HX Processor | 24GB RAM | 512GB SSD | NVIDIA GeForce RTX 4060 8GB Graphics | 15.6"" FHD 144Hz Display)",165999,https://infotechsnepal.com.np/product/lenovo-loq-15-i7-13650hx-24gb-ram-512gb-ssd-rtx-4060-8gb-graphics-15-6-fhd/
"Lenovo LOQ 15 15IXA9 (Intel Core i5 12th Gen 12600HX Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 15.6"" FHD 144Hz IPS Display)",113999,https://infotechsnepal.com.np/product/lenovo-loq-15-15ixa9-i5-12600hx-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-15-6-inch/
"Lenovo V15 G4 (Intel Core i3 13th Gen 1315U Processor | 8GB RAM | 256GB SSD | Intel UHD Graphics | 15.6"" FHD Display)",53999,https://infotechsnepal.com.np/product/lenovo-v15-g4-i3-13th-gen-1315u-8gb-ram-256gb-ssd-uhd-graphics-15-6-fhd/
"HP Victus 15 (AMD Ryzen 7 8845HS Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 4060 8GB Graphics | 15.6"" FHD 144Hz IPS Display)",144499,https://infotechsnepal.com.np/product/hp-victus-15-ryzen-7-8845hs-16gb-ram-512gb-ssd-rtx-4060-8gb-graphics-15-6-fhd/
"Acer Nitro Lite 16 (Intel Core i5 13th Gen 13420H Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 16"" WUXGA 165Hz Display)",122599,https://infotechsnepal.com.np/product/acer-nitro-lite-16-intel-core-i5-13th-gen-13420h-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-16-inch/
"Lenovo LOQ 15 15IXA9 (Intel Core i5 12th Gen 12600HX Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 6GB Graphics | 15.6"" FHD 144Hz IPS Display)",107999,https://infotechsnepal.com.np/product/lenovo-loq-15-15ixa9-core-i5-12th-gen-12600hx-16gb-ram-512gb-ssd-rtx-3050-6gb-15-6-fhd/
"HP Victus 15 (AMD Ryzen 7 7445HS Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 15.6"" FHD 144Hz Display)",133399,https://infotechsnepal.com.np/product/hp-victus-15-ryzen-7-7445hs-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-15-6-fhd/
Dell Inspiron 15 3530 (Intel Core i7 13th Gen 1355U Processor | 16GB RAM | 1TB SSD | Intel UHD Graphics | 15.6” FHD Touch Display),99000,https://infotechsnepal.com.np/product/dell-inspiron-15-3530-core-i7-13th-gen-1355u-16gb-ram-1tb-ssd-uhd-graphics-touch-15-6-fhd/
"Acer Nitro Lite 16 (Intel Core i5 13th Gen 13420H Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 6GB Graphics | 16"" WUXGA 165Hz Display)",106999,https://infotechsnepal.com.np/product/acer-nitro-lite-16-i5-13th-gen-13420h-16gb-ram-512gb-ssd-rtx-3050-6gb-graphics-16-fhd/
Lenovo LOQ 15 15IRX9 (Intel Core i5-13450HX Processor | 24GB RAM | 512GB SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 15.6″ FHD IPS 144HZ Display),121999,https://infotechsnepal.com.np/product/lenovo-loq-15-15irx9-core-i5-13450hx-24gb-ram-512gb-ssd-rtx-4050-6gb-graphics-15-6-inch/
"Lenovo ThinkPad E14 Gen 6 (Intel Core Ultra 5 125U Processor | 16GB RAM | 512GB SSD | Intel® Graphics | Backlit Keyboard | Fingerprint Scanner | 14"" WUXGA Display | 3 Years Warranty )",122999,https://infotechsnepal.com.np/product/lenovo-thinkpad-e14-gen-6-ultra-5-125u-16gb-ram-512gb-ssd-intel-graphics-fingerprint-14-inch/
Acer Nitro V15 Gaming (Intel Core i5 13th gen 13420H Processor | 16GB RAM | 512GB SSD | Nvidia GeForce RTX 4050 6GB Dedicated Graphics | Backlit Keyboard | 15.6″ FHD 165Hz Display),113999,https://infotechsnepal.com.np/product/acer-nitro-v15-gaming-i5-13420h-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-backlit-keyboard-15-6-fhd/
"Acer Aspire Lite 15 (Intel Core Celeron N4500 Processor | 8GB RAM |  256GB SSD | Intel UHD Graphics | 15.6"" FHD IPS Slim Bezel Display)",37499,https://infotechsnepal.com.np/product/acer-aspire-lite-15-celeron-n4500-8gb-ram-256gb-ssd-uhd-graphics-15-6-fhd/
Asus VivoBook S14 Copilot (Intel Core Ultra 5 15th Gen 226V Processor |16GB LPDDR5X | 512GB PCIEG4 | Intel Arc Graphics | 14.0 OLED WUXGA Bend GL Display),100999,https://infotechsnepal.com.np/product/asus-vivobook-s14-copilot-ultra-5-226v-16gb-lpddr5x-512gb-pcieg4-intel-arc-graphics-14-inch/
"HP OmniBook 5 Flip 14 (Intel Core i5 120U Processor | 8GB RAM | 512GB SSD | Integrated Intel® Graphics | 14.1"" FHD+ x360 Touch Display)",93999,https://infotechsnepal.com.np/product/hp-omnibook-5-flip-14-i5-120u-8gb-ram-512gb-ssd-integrated-intel-graphics-14-inch/
Acer Nitro V 16 Gaming (AMD Ryzen 7 8845HS Processor | 16GB RAM | 512GB SSD | Nvidia GeForce RTX 4050 6GB Graphics | 16″ WUXGA IPS 165Hz Display | 2 Years Warranty),139900,https://infotechsnepal.com.np/product/acer-nitro-v-16-gaming-ryzen-7-8845hs-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-2-years-warranty-16-inch/
"Asus TUF A16 (AMD Ryzen 5 7535HS Processor | 16GB RAM |  512GB SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 16"" WUXGA Bend WV 144Hz Display)",108999,https://infotechsnepal.com.np/product/asus-tuf-a16-ryzen-5-7535hs-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-16-inch/
"HP OmniBook 5 Flip 14 (Intel Core i7 150U Processor | 16GB RAM | 512GB SSD | Intel® Graphics | 14"" FHD+ x360 Touch Display)",112999,https://infotechsnepal.com.np/product/hp-omnibook-5-flip-14-i7-150u-16gb-ram-512gb-ssd-intel-graphics-14-fhd/
"Asus VivoBook 14 2025 (Intel Core i3 13th Gen 1315U Processor | 8GB RAM | 512GB SSD | Intel(R) UHD Graphics | 14"" FHD Display)",51999,https://infotechsnepal.com.np/product/asus-vivobook-14-2025-core-i3-1315u-8gb-ram-512gb-ssd-intelr-uhd-graphics-14-fhd/
Acer Aspire Go 14 2025 (Intel Core Ultra 5 14th Gen 125H Processor | 16GB RAM | 512GB SSD | Intel Arc Graphics | 14” WUXGA FHD+ IPS Display | 1 Year Warranty),82999,https://infotechsnepal.com.np/product/acer-aspire-go-14-2025-core-ultra-5-125h-16gb-ram-512gb-ssd-intel-arc-graphics-14-fhd/
"Acer Aspire Go 14 (Intel Core Ultra 7 14th Gen 155H Processor | 16GB RAM | 512GB SSD | Intel Arc Integrated Graphics | 14"" WUXGA FHD+ Display | 2 Years Warranty)",102999,https://infotechsnepal.com.np/product/acer-aspire-go-14-ultra-7-155h-16gb-ram-512gb-ssd-arc-integrated-2-years-warranty-14-fhd/
Acer Aspire Go 14 2025 (Intel Core Ultra 5 14th Gen 125H Processor | 16GB RAM | 512GB SSD | Intel Arc Graphics | 14” WUXGA FHD+ IPS Display | 2 Years Warranty),85999,https://infotechsnepal.com.np/product/acer-aspire-go-14-2025-core-ultra-5-14th-gen-125h-16gb-ram-512gb-ssd-arc-graphics-14-inch/
"Acer Aspire 5 (Intel Core i7 13th Gen 13620H Processor | 16GB RAM | 512GB SSD | Intel UHD Graphics | 15.6"" FHD Display)",88999,https://infotechsnepal.com.np/product/acer-aspire-5-i7-13620h-16gb-ram-512gb-ssd-uhd-graphics-15-6-fhd/
"Asus TUF Gaming A15 (AMD Ryzen 7 7435HS Processor | 16GB RAM | 512GB SSD | NVIDIA® GeForce RTX 3050 4GB Graphics | 15.6"" FHD 144Hz Display)",106499,https://infotechsnepal.com.np/product/asus-tuf-gaming-a15-ryzen-7-7435hs-16gb-ram-512gb-ssd-rtx-3050-4gb-graphics-15-6-fhd/
"Lenovo IdeaPad Slim 3 2025 (Intel Core i5 13th Gen 13420H Processor 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.3"" WUXGA FHD+ IPS Display)",71499,https://infotechsnepal.com.np/product/lenovo-ideapad-slim-3-2025-core-i5-13420h-8gb-ram-512gb-ssd-uhd-graphics-15-3-inch/
Lenovo IdeaPad Slim 3 2025 (Intel Core i5 13th Gen 13420H Processor | 8GB RAM | 512GB SSD | Intel(R) UHD Graphics | 14” WUXGA Display),71999,https://infotechsnepal.com.np/product/lenovo-ideapad-slim-3-2025-core-i5-13420h-8gb-ram-512gb-ssd-uhd-graphics-14-inch/
"Acer Aspire 3 SlimBook 15 (AMD Ryzen 7 7730U Processor | 16GB RAM | 512GB SSD | Backlit Keyboard | 15.6"" FHD Display)",73999,https://infotechsnepal.com.np/product/acer-aspire-3-slimbook-15-ryzen-7-7730u-16gb-ram-512gb-ssd-backlit-keyboard-15-6-fhd/
"Acer Aspire Lite 14 (Intel Core i5 13th Gen 1334U Processor | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14"" WUXGA Display | 2 Years Warranty)",73999,https://infotechsnepal.com.np/product/acer-aspire-lite-14-i5-13th-gen-1334u-16gb-ram-512gb-ssd-uhd-graphics-14-inch/
"Lenovo LOQ Gaming 2025 (Intel® Core i7 12th Gen 12650HX Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 15.6"" WUXGA FHD+ IPS 144Hz Display)",120999,https://infotechsnepal.com.np/product/lenovo-loq-gaming-2025-i7-12650hx-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-15-6-inch/
"Lenovo LOQ Gaming 151AX9E (Intel Core i5 12th Gen 12450HX Processor | 12GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 4GB Graphics | White Backlit Keyboard | 15.6"" FHD 100% sRGB 144HZ Display)",106999,https://infotechsnepal.com.np/product/lenovo-loq-gaming-151ax9e-i5-12450hx-12gb-ram-512gb-ssd-rtx-3050-4gb-graphics-backlit-15-6-fhd/
Lenovo LOQ 15IRX9 (Intel Core i5 13th Gen 13450HX Processor | 24GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 6GB Graphics | 15.6″ FHD IPS 144HZ Display),114999,https://infotechsnepal.com.np/product/lenovo-loq-15irx9-i5-13450hx-24gb-ram-512gb-ssd-rtx-3050-6gb-graphics-15-6%e2%80%b3-inch/
Lenovo V14 G4 (AMD Ryzen 7 | 77300U Processor | 16GB RAM | 512GB SSD | AMD Radeon Graphics | 14″ IPS FHD Display),89999,https://infotechsnepal.com.np/product/lenovo-v14-g4-ryzen-7-77300u-16gb-ram-512gb-ssd-radeon-graphics-14-inch/
"Asus VivoBook GO 15 E1504FA (AMD Ryzen 3 7320U Processor | 8GB RAM | 256GB SSD | AMD Radeon Graphics | 15.6"" FHD Display | 2 Yrs Int'l Warranty | 1 year Perfect Warranty)",59999,https://infotechsnepal.com.np/product/asus-vivobook-go-15-e1504fa-ryzen-3-7320u-8gb-ram-256gb-ssd-radeon-graphics-15-6-fhd/
Acer Predator Helios Neo 16 2025 (Intel Core i7 14th Gen 14650HX Processor | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 4060 8GB Graphics | 16” WQXGA IPS 180Hz Display),182999,https://infotechsnepal.com.np/product/acer-predator-helios-neo-16-2025-i7-14650hx-16gb-ram-1tb-ssd-rtx-4060-8gb-graphics-16-inch/
"Lenovo ThinkPad E14 Gen 6 (Intel Core Ultra 5 125U Processor | 8GB RAM | 512GB SSD | Intel® Graphics | Backlit Keyboard | Fingerprint Scanner | 14"" WUXGA Display | 3 Years Warranty )",117999,https://infotechsnepal.com.np/product/lenovo-thinkpad-e14-gen-6-core-ultra-5-125u-8gb-ram-512gb-ssd-intel-graphics-fingerprint-14-inch/
"Dell Inspiron 16 5640 (Intel Core i7 150U Processor | 16GB RAM | 1TB SSD | Backlit & Fingerprint | Integrated Intel® Graphics | 16"" FHD+ Touchscreen Display)",112999,https://infotechsnepal.com.np/product/dell-inspiron-16-5640-core-i7-150u-16gb-ram-1tb-ssd-integrated-intel-graphics-16-inch/
"Dell Inspiron 16 5640 (Intel Core i7 150U Processor | 16GB RAM | 1TB SSD | Backlit & Fingerprint | Integrated Intel® Graphics | 16"" FHD+ Display | 2 Years Authorized Warranty)",149999,https://infotechsnepal.com.np/product/dell-inspiron-16-5640-i7-150u-16gb-ram-1tb-ssd-integrated-intel-graphics-16-fhd/
"Dell Latitude 7440 (Intel Core i5 13th Gen 1350U Processor | 32GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14"" FHD Touch Display)",92999,https://infotechsnepal.com.np/product/dell-latitude-7440-core-i5-1350u-32gb-ram-512gb-ssd-iris-xe-graphics-14-fhd/
"Dell Latitude 5440 (Intel Core i7 13th Gen 1365U Processor | 16GB RAM | 512GB SSD | Intel Integrated Graphics | 14"" FHD Touch Display)",129900,https://infotechsnepal.com.np/product/dell-latitude-5440-intel-core-i7-13th-gen-1365u-16gb-ram-512gb-ssd-integrated-graphics-14-fhd/
"Lenovo LOQ Gaming 2025 (Intel Core i5 12th Gen 12450HX Processor | 8GB RAM | 512 GB SSD | NVIDIA GeForce RTX 2050 4GB Graphics | 15.6"" FHD 100% sRGB 144HZ Display)",89499,https://infotechsnepal.com.np/product/lenovo-loq-gaming-2025-i5-12th-gen-12450hx-8gb-ram-512-gb-ssd-rtx-2050-4gb-graphics-15-6-fhd/
"Asus Expertbook B1 2025 (Intel Core i5 13th Gen 1334U Processor | 16GB RAM | 512GB SSD | Backlit Keyboard | 15.6"" FHD Display)",82999,https://infotechsnepal.com.np/product/asus-expertbook-b1-2025-core-i5-1334u-16gb-ram-512gb-ssd-backlit-keyboard-15-6-fhd/
"Acer Nitro Lite 16 Gaming 2025 (Intel Core i7 13th Gen 13620H Processor | 16GB RAM | 512GB SSD | NVIDIA GEFORCE RTX 4050 6GB Graphics | 16"" WUXGA 165Hz IPS Display)",134999,https://infotechsnepal.com.np/product/acer-nitro-lite-16-gaming-2025-core-i7-13620h-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-16-inch/
"Acer Nitro Lite 16 Gaming 2025 (Intel Core i7 13th Gen 13620H Processor | 16GB RAM | 512GB SSD | NVIDIA GEFORCE RTX 4050 6GB Graphics | 16"" WUXGA 165Hz IPS Display | 2 Years Warranty)",142999,https://infotechsnepal.com.np/product/acer-nitro-lite-16-gaming-2025-i7-13th-gen-13620h-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-16-inch/
"Acer Aspire Lite 14 ( Intel Core i5 13th Gen 1334U Processor | 16GB RAM | 512GB SSD | Integrated Intel Graphics | 14"" 2.2K IPS Display)",75999,https://infotechsnepal.com.np/product/acer-aspire-lite-14-intel-core-i5-1334u-16gb-ram-512gb-ssd-integrated-intel-graphics-14-fhd/
"Acer Nitro V 15 Gaming 2025 (Intel Core i5 15th Gen C210H Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 15.6"" FHD 165Hz Display)",121499,https://infotechsnepal.com.np/product/acer-nitro-v-15-gaming-2025-i5-c210h-16gb-ram-512gb-ssd-rtx-4050-6gb-graphics-15-6-fhd/
"Lenovo LOQ Gaming 2025 (Intel Core i5 12th Gen 12450HX Processor | 12GB RAM | 512 GB SSD | NVIDIA GeForce RTX 2050 4GB Graphics | 15.6"" FHD 144HZ Display)",92499,https://infotechsnepal.com.np/product/lenovo-loq-gaming-2025-core-i5-12450hx-12gb-ram-512-gb-ssd-geforce-rtx-2050-4gb-graphics-15-6-fhd/
"Lenovo IdeaPad 1i 15 (Intel Celeron N4500 Processor | 8GB RAM | 256GB SSD | Intel UHD Graphics  | 15.6"" FHD Display)",37499,https://infotechsnepal.com.np/product/lenovo-ideapad-1i-15-celeron-processor-8gb-ram-256gb-ssd-uhd-graphics-15-6-fhd/
